id,image,title,caption,date,tags
0,ode_lounge.webp|ode_lounge_goodra_onesie.webp,Ode (lounging),Ode casually lounging around|Ode casually lounging around in his Goodra onesie,2023-04-28,oc ode
1,the_calx.webp|the_calx_normalshirt.webp|the_calx_bartshirt.webp|the_calx_skeletonshirt.webp,Calx!,Calx the Lynx-wolf hybrid|Calx the Lynx-wolf hybrid (normal shirt)|Calx the Lynx-wolf hybrid (bootleg shirt)|Calx the Lynx-wolf hybrid (skeleton shirt),2023-05-06,oc calx
2,rauru-clo.webp|rauru-un.webp,Rauru <3,Rauru my beloved|Rauru my beloved (unclothed teehee),2023-05-29,fanart
3,polypride.webp,Poly Pride,Happy Pride Month w/ Rey. Fruity and Ameth,2023-06-13,oc ameth fruity rey
4,nix.webp,Nix the Protogen,Nix the Protogen!,2023-06-25,oc nix
5,cy_yawn1.webp|cy_yawn2.webp,Cy is eepy...,Cy's so eepy smh|Cy's so eepy smh (2),2023-07-04,oc cy
6,arwe_aether_beach.webp,Arwe & Aether Beach Day!,Arwe n Aether chilling on the beach,2023-07-15,oc arwe other
7,perry_fistful_of_frags.webp,Perry in Fistful of Frags,Pass the whiskey.,2023-07-19,oc perry
8,necahual-clothed.webp|necahual.webp,Necuahual the Lemon Shark,Little character sheet for my lemon shark oc|Little character sheet for my lemon shark oc (unclothed),2023-07-29,oc nec
9,perry_ode_woodland1.webp|perry_ode_woodland2.webp,woodland creatures,Perry and Ode exploring a nature trail|Perry and Ode exploring a nature trail (2),2023-08-19,oc perry ode
10,somebirds4you.webp,Some birds 4 you,some birds 4 you ft. Korr and Lars,2023-08-27,oc lars other
11,goog_gieeg.webp,goog the gieeg,from my brief gieeg brainrot,2023-08-30,oc other
12,capri-astro.webp,Capri,A complete redesign of an old goat character,2023-09-17,oc capri
13,perry newref epsilon.webp,Perry's Ref,"character ref for my sona, Perry",2023-10-10,oc perry
14,ode newref epsilon.webp,Ode's Ref,"character ref for my sona, Ode",2023-10-10,oc ode
15,ode-weredeer1.webp|ode-weredeer2.webp,Were-deer,What a horrible night to have a curse (curse of were-deer)|A deer being a were-deer is like deer squared if you think about it,2023-10-31,oc ode
16,cArn foppies.webp,Cameron!,what the fops!,2023-11-24,gift
17,arwe renew.webp|arwe renew clothed.webp,Arwe's Redesign,"A redesign of my dragon character, Arwe|Arwe's all dressed up for this beautiful evening",2023-12-07,oc arwe
18,arwe speak.webp,How to Read Dragon Script,A little drawing teaching how to read Arwe's dialogue,2023-12-21,oc arwe
19,cedar_ref.webp,Cedar's Ref (for boyf),"Ref I drew for my boyf's character, Cedar :3",2024-01-14,gift
20,perry-ode-guys.webp,Perry & Ode doodle,"Some doodles of my sonas, Perry and Ode.",2024-01-29,oc perry ode
21,big-pepp.webp,Hanging out w/ beach dog Pepp,Hanging out with beach dog Pepp as he excitedly shares little factoids with you,2024-02-17,oc pepp
22,no longer.webp,No Longer,What once was is no longer. I am who I am now.,2024-03-10,painting perry
23,mo_money.webp|mo_money_no_clothes.webp,Mo Money UTY,Fanart of Mo Money from Undertale Yellow.|Fanart of Mo Money from Undertale Yellow (no clothes :3).,2024-04-07,fanart
24,lav.webp,Lav the Dragon,Lav!,2024-04-17,oc lav
25,sil-book.webp|sil-book-no-armour.webp,Gift for a maths creature,"Silicon resting underneath a tree, reading up on some math...|Silicon resting underneath a tree, reading up on some math... (no armour)",2024-05-10,gift
26,calx_redesign_hmm.webp,Calx Redesign,Concocted a new Calx.,2024-05-24,oc calx
27,slay-arwe.webp|slay-arwe-clothes.webp,Arwe Slayyy,Doodle of Arwe slaying.|Doodle of Arwe slaying (with cool clothing).,2024-07-23,oc arwe
28,perry-geometry.webp,Perry Geometry,what if i was geometry? would you measure my angles and calculate my area,2024-09-01,oc perry
29,ode-side-profile.webp,Ode Side Profile,A side profile practice doodle featuring Ode.,2024-09-13,oc ode
30,gray-ruby.webp,Ruby (for avalivore on twt),"Drawing of avalivore's dragon, Ruby c:",2024-09-22,gift
31,back-on-my-gay.webp,Back on my Gay Shit,"A late night doodle of a creature of unknown species, but it's really homosexual lol",2024-10-06,oc other perry
32,nix-changelog.webp,Nix's Changelog,"Nix just got updated, check out their changes!",2024-12-08,oc nix
33,rauru-rest-1.webp|rauru-rest-2.webp,Resting w/ Rauru,Rauru invites you to rest with him on this beautiful evening.|It seems Perry had a different idea for resting. :3,2025-02-17,fanart perry
34,foppyperry-companions.webp,"me and foppy , forest companions <3","my sona Perry and boyf's sona Foppy chillin and being soo cool,, and also there's fruits and flowers",2025-05-15,gift perry
35,ocean-of-subconscious.webp,Ocean of Subconscious,"Inspired by a weird, surreal dream I had; a black rock surrounded by ocean waves ,, also in bisexual colours for pride",2025-06-03,painting perry
36,ode-darkworld.webp|foppy-darkworld.webp,Ode + Foppy in the Dark World,what if ode was in the dark world ? i think he would look like this|and what if foppy (boyf's sona) was too ? he'd look like that,2025-06-28,oc fanart gift ode
37,timbertoast-timber.webp|avaligray-skipper.webp|thatflyingfurry-cornflower.webp,Artfight 2025,the moof - revenge for timbertoast|long avali - friendly fire against avaligray|playstation donkey - revenge against thatflyingfurry,2025-08-01,gift
